dataset_uuid,collection_id,dataset_id,sample_id,directory,filepath,filename,file_extension,file_size,file_creation_date,sha256,md5,xxh128
,009c1e6fcc03ebac,UNKNOWN,190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895/190895-metainfo.txt,190895-metainfo.txt,.txt,693.0,2019-12-0503:26:25,2f83f9da49a4fc59b80b9185207055832653ddf51117e3010c3dcd0de0f51cee,aae6752c964e56146934fef4e2e21491,None
,009c1e6fcc03ebac,UNKNOWN,190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895/190895.json,190895.json,.json,534.0,2019-12-0503:27:38,55b2e61954ae32118f7d923a710489b0355123142579b96a94003b64c7384066,2704360b304105e180fb08ef06d1a52b,None
,009c1e6fcc03ebac,UNKNOWN,190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022522-190895/xxhash_dat_mouseID_19022522-190895,xxhash_dat_mouseID_19022522-190895,,1071128.0,2019-12-0408:54:50,906545fa0dead8e6a5496ba803e9acd2a2d439b66db691fec4b53cf022b6f649,fa2aaf565457ed5d5701d22d59f54506,None
,009c1e6fcc03ebac,UNKNOWN,191178,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19032517-191178,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19032517-191178/xxhash_dat_mouseID_19032517-191178,xxhash_dat_mouseID_19032517-191178,,1096722.0,2020-06-2907:43:20,c4e07196782566e7773f69b1eba310492c2bd5355a273f4896082f6b6365be03,18758836aa7a3697dfcbc10ffc76dba2,None
,009c1e6fcc03ebac,UNKNOWN,190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896/190896.json,190896.json,.json,534.0,2020-06-2204:21:19,cbca27551e57bba24c13aff4f8344614b5ff95fb2ac7c0d8fbff05a78af8bf31,dd486c5107c9ee689df7588eedf399f6,None
,009c1e6fcc03ebac,UNKNOWN,190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896/190896-metainfo.txt,190896-metainfo.txt,.txt,693.0,2020-06-2204:20:03,10d223a849f1c248c7c69a581bad3dc060c842bb40612c1734e60a212dbd0139,7c6f929ca4f45fc98d4689dcb625f75c,None
,009c1e6fcc03ebac,UNKNOWN,190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896/xxhash_dat_mouseID_19022521-190896,xxhash_dat_mouseID_19022521-190896,,992409.0,2020-06-2204:30:48,0b4a31eadf12417698c9581d44849588b28b231986c3c8c81d3a02a2a4727c32,bc7badfacf028e7c898c04ddb0d19493,None
,009c1e6fcc03ebac,UNKNOWN,190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022521-190896/readme.txt,readme.txt,.txt,51.0,2020-06-2204:12:15,2d74dc07c14c812e0f67039fbe1d2a0e4891aaab687e37a2e071088d175e65ee,c5d0dfcd8110324b88357c1862504b8d,None
,009c1e6fcc03ebac,UNKNOWN,191180,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19032516-191180,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19032516-191180/xxhash_dat_mouseID_19032516-191180,xxhash_dat_mouseID_19032516-191180,,1107522.0,2020-06-2907:53:40,388f1184d4f622e848d1c9409f7c269728b13a393a97cda51cbc58fbca812171,8b5bd3e47273082d596de03ffbb1513b,None
,009c1e6fcc03ebac,UNKNOWN,190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897/190897.json,190897.json,.json,534.0,2020-06-2205:07:25,30b735a014794e5fa018a07a39e3abb13c3e7537cc0e6f766fddb59fa116d139,f8970d1ecfc5b6b793579e80ba08acd7,None
,009c1e6fcc03ebac,UNKNOWN,190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897/190897-metainfo.txt,190897-metainfo.txt,.txt,693.0,2020-06-2205:09:03,5a7eaf273dcc10d346104c9918625910c4f2901420032763955c1a9531deeb0e,e6a9fdec5218b18b53fa5db02519a89d,None
,009c1e6fcc03ebac,UNKNOWN,190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897/xxhash_dat_mouseID_19022525-190897,xxhash_dat_mouseID_19022525-190897,,1051278.0,2020-06-2205:31:25,c179906466b03c3e7e9bf2f4961f31957202704db4337430f417f2897da3b83c,75bcda81eb44035d498f1d71d4129d67,None
,009c1e6fcc03ebac,UNKNOWN,190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022525-190897/readme.txt,readme.txt,.txt,37.0,2020-06-2204:59:11,b645acab17ae01c9d856929d79ceaa02aa849408ed69b379f2c432ddc9a7bcd7,3be0cb0979be3795f2aef1c2f9bb8fce,None
,009c1e6fcc03ebac,UNKNOWN,191229,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19030613-191229,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19030613-191229/xxhash_dat_mouseID_19030613-191229,xxhash_dat_mouseID_19030613-191229,,497466.0,2020-06-2722:24:23,bbab032b3c6c75291b32610235b10f82999c1488ba5f1a78338c5e820b28683e,0f1efb9829cef279337b808005cc308c,None
,009c1e6fcc03ebac,UNKNOWN,190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898/190898.json,190898.json,.json,534.0,2019-12-0503:51:01,fc13ef09ab8d27a057f034738e87ed10c95728eccf3254c43e2ebe07e539798d,e9b45e1453fb7bff32e23334ea0bad50,None
,009c1e6fcc03ebac,UNKNOWN,190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898/190898-metainfo.txt,190898-metainfo.txt,.txt,693.0,2019-12-0504:18:11,898edfa289f9022599885847c0562969ef1d974607295876e57a7d399cf6ac53,33595f447afc3e2c58f58e35e8903520,None
,009c1e6fcc03ebac,UNKNOWN,190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022526-190898/xxhash_dat_mouseID_19022526-190898,xxhash_dat_mouseID_19022526-190898,,1095504.0,2019-12-0406:51:25,439eb42a12bdc50cb83a6c7ea327ee5e6f7e6e44298e20420cb0af11cec83600,9ddcb08c82eb054302ff98bf431b9a30,None
,009c1e6fcc03ebac,UNKNOWN,192853,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_w19051015-192853,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_w19051015-192853/xxhash_dat_mouseID_w19051015-192853,xxhash_dat_mouseID_w19051015-192853,,972486.0,2020-06-2722:42:16,0f222ad0a3e4c2d3811329d8a9a2ec399660597305347b5e191c089f4a4a82b4,64b90cabd802688f7d266a5d8fc63c9f,None
,009c1e6fcc03ebac,UNKNOWN,190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900,/bil/data/00/9c/009c1e6fcc03ebac/mouseID_19022515-190900/190900-metainfo.txt,190900-metainfo.txt,.txt,693.0,2020-06-2205:46:28,3c5eb76bb40cbb11f514e38170d7b31c492dda30243d48ccd02c53b8ad2b9f8c,01700f25adf01fd9f1a0cdb9c4c0e191,None
